Date,Particulars,Vch Type,Vch No.,Debit Amount,Credit Amount
04-04-2025,Office Expenses,Payment,9,155,
,Cash,,,,155.00 Cr
04-04-2025,Wages Expenses A/C,Payment,10,7450,
,Cash,,,,7450.00 Cr
04-04-2025,KAMAL TRADING CO Dudu,Receipt,9,,40000
,HDFC Bank,,,40000.00 Dr,
04-04-2025,Tarachand Ji -Yadav Khejroli,Receipt,10,,44900
,HDFC Bank,,,44900.00 Dr,
04-04-2025,Ramnarayan  Girraj Jaipur,Receipt,11,,9000
,Cash,,,9000.00 Dr,
04-04-2025,Dugya Cattle Feed - Muhana,Sales,2397/25-26,44100,
,Sales Account,,,,44100.00 Cr
04-04-2025,Dugya Cattle Feed - Muhana,Sales,2398/25-26,27500,
,Sales Account,,,,27500.00 Cr
04-04-2025,Uttam Agencies Sambriya,Sales,2399/25-26,50920,
,Sales Account,,,,50920.00 Cr
04-04-2025,PRABHA MAHILA KISSAN PRODUSER KHANDER,Sales,2400/25-26,63000,
,Sales Account,,,,63000.00 Cr
04-04-2025,Tarachand Ji -Yadav Khejroli,Sales,2401/25-26,44900,
,Sales Account,,,,44900.00 Cr
04-04-2025,Balaji Indastrises  Didwana,Sales,2402/25-26,65740,
,Sales Account,,,,65740.00 Cr
05-04-2025,Tour & Travel,Payment,11,1500,
,Cash,,,,1500.00 Cr
05-04-2025,Wages Expenses A/C,Payment,12,7600,
,Cash,,,,7600.00 Cr
05-04-2025,Goyal Treders Fhagi,Receipt,12,,84647
,HDFC Bank,,,84647.00 Dr,
05-04-2025,Dugya Cattle Feed - Muhana,Receipt,13,,75350
,HDFC Bank,,,75350.00 Dr,
05-04-2025,Jain & Brothers - Muhana Mandi,Receipt,14,,38289
,HDFC Bank,,,38289.00 Dr,
05-04-2025,Ramnarayan  Girraj Jaipur,Receipt,15,,2000
,Cash,,,2000.00 Dr,
05-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2403/25-26,23083,
,Sales Account,,,,23083.00 Cr
05-04-2025,Bayo Foods and Fids Shiv Puri,Purchase,3,,840506
,Purchase Account,,,840506.00 Dr,
06-04-2025,Maa Karni Baat Bhander Sodala,Receipt,16,,8330
,Cash,,,8330.00 Dr,
07-04-2025,Wages Expenses A/C,Payment,13,7650,
,Cash,,,,7650.00 Cr
07-04-2025,Printing & Stationary,Payment,14,1850,
,Cash,,,,1850.00 Cr
07-04-2025,Shri Hari Shanker Khandelwal,Payment,15,9000,
,Cash,,,,9000.00 Cr
07-04-2025,Nilesh Kumar Khandelwal,Payment,16,9500,
,Vijay Kumar Khandelwal,,,9500.00 Dr,
,Priyanka Devi Khandelwal,,,9500.00 Dr,
,Vishnu Gupta,,,9500.00 Dr,
,Nitesh,,,9500.00 Dr,
,Pradeep Kumar Gupta,,,9500.00 Dr,
,Raju Lal Ji,,,9500.00 Dr,
,Raju Mistri,,,9500.00 Dr,
,Cash,,,,76000.00 Cr
07-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,17,,23083
,HDFC Bank,,,23083.00 Dr,
07-04-2025,Shri Chand Pasu Aahar Malpura,Receipt,18,,191600
,HDFC Bank,,,191600.00 Dr,
07-04-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,19,,35000
,HDFC Bank,,,35000.00 Dr,
07-04-2025,Abhishek Treding Company  Fathenegar,Receipt,20,,238700
,HDFC Bank,,,238700.00 Dr,
07-04-2025,Vinayak Brothers - Renwal,Sales,2404/25-26,92770,
,Sales Account,,,,92770.00 Cr
07-04-2025,KAMAL TRADING CO Dudu,Sales,2405/25-26,60800,
,Sales Account,,,,60800.00 Cr
07-04-2025,Abhishek Treding Company  Fathenegar,Sales,2406/25-26,238700,
,Sales Account,,,,238700.00 Cr
07-04-2025,Shri Siddhi Vinayak Industry - Palsana,Sales,2407/25-26,148980,
,Sales Account,,,,148980.00 Cr
07-04-2025,Arihant  Kumar Rahul Kumar  Medta Seety - S,Sales,2408/25-26,240807,
,Sales Account,,,,240807.00 Cr
07-04-2025,Suraj Agro - Udaipur - Maize DDGS,Purchase,4,,642408
,Purchase Account,,,611817.00 Dr,
,SGST-Tax,,,15295.50 Dr,
,CGST-Tax,,,15295.50 Dr,
07-04-2025,Om Prakash Rajesh Kumar - Jaipur,Purchase,5,,104762
,Purchase Account,,,104762.00 Dr,
08-04-2025,Electricity and Water Expenses,Payment,17,16375,
,HDFC Bank,,,,16375.00 Cr
08-04-2025,BUSINESS PROMOTION EXPENSES,Payment,18,23849,
,HDFC Bank,,,,23849.00 Cr
08-04-2025,S M Sales Corporation  Jaipur,Payment,19,22166,
,HDFC Bank,,,,22166.00 Cr
08-04-2025,R S Oil Mils,Payment,20,54775,
,HDFC Bank,,,,54775.00 Cr
08-04-2025,Rakesh Enterprises Peryagraj,Payment,21,129645,
,HDFC Bank,,,,129645.00 Cr
08-04-2025,Office Expenses,Payment,22,516,
,Cash,,,,516.00 Cr
08-04-2025,Wages Expenses A/C,Payment,23,7550,
,Cash,,,,7550.00 Cr
08-04-2025,Tour & Travel,Payment,24,1500,
,Cash,,,,1500.00 Cr
08-04-2025,J.S. Packers - Jaipur,Payment,25,14487,
,Punjab National Bank - New,,,,14487.00 Cr
08-04-2025,J.S. Packers - Jaipur,Payment,26,24428,
,Punjab National Bank - New,,,,24428.00 Cr
08-04-2025,Nilesh Kumar Khandelwal,Payment,27,9500,
,Vijay Kumar Khandelwal,,,9500.00 Dr,
,Priyanka Devi Khandelwal,,,9500.00 Dr,
,Pradeep Kumar Gupta,,,8000.00 Dr,
,Raju Lal Gupta,,,4500.00 Dr,
,Vishnu Gupta,,,9500.00 Dr,
,Nitesh,,,9500.00 Dr,
,Raju Mistri,,,4000.00 Dr,
,Cash,,,,64000.00 Cr
08-04-2025,G.K.N - Industries,Sales,2409/25-26,44330,
,Sales Account,,,,44330.00 Cr
08-04-2025,Ganesh Pashuahar Chaksu,Sales,2410/25-26,118295,
,Sales Account,,,,118295.00 Cr
08-04-2025,Sunny Industries Sitapura Jaipur,Purchase,6,,35807
,Purchase Account,,,35807.00 Dr,
09-04-2025,Brokrage,Payment,28,1260,
,HDFC Bank,,,,1260.00 Cr
09-04-2025,Suraj Agro - Udaipur - Maize DDGS,Payment,29,640048,
,HDFC Bank,,,,640048.00 Cr
09-04-2025,Om Prakash Rajesh Kumar - Jaipur,Payment,30,104762,
,HDFC Bank,,,,104762.00 Cr
09-04-2025,Sunny Industries Sitapura Jaipur,Payment,31,35807,
,HDFC Bank,,,,35807.00 Cr
09-04-2025,Wages Expenses A/C,Payment,32,6150,
,Cash,,,,6150.00 Cr
09-04-2025,Office Expenses,Payment,33,3850,
,Cash,,,,3850.00 Cr
09-04-2025,Balaji Indastrises  Didwana,Receipt,21,,65740
,HDFC Bank,,,65740.00 Dr,
09-04-2025,(cancelled),Receipt,22,,
09-04-2025,Haritwal Pashu Ahar Vatika,Sales,2411/25-26,72870,
,Sales Account,,,,72870.00 Cr
09-04-2025,Narendar Kumar Khejroli,Sales,2412/25-26,77775,
,Sales Account,,,,77775.00 Cr
09-04-2025,Kharwash Trading Company (Muhana ),Sales,2413/25-26,61080,
,Sales Account,,,,61080.00 Cr
09-04-2025,Patel Enterprises  Rojda,Sales,2414/25-26,61900,
,Sales Account,,,,61900.00 Cr
09-04-2025,Goyal Palsez Malpura,Purchase,7,,120225
,Purchase Account,,,120225.00 Dr,
09-04-2025,Astha Indusrries Raebareli Up,Purchase,8,,331419
,Purchase Account,,,331419.00 Dr,
10-04-2025,Tour & Travel,Payment,34,1223,
,Cash,,,,1223.00 Cr
10-04-2025,Car Repairing,Payment,35,3048,
,Cash,,,,3048.00 Cr
10-04-2025,Wages Expenses A/C,Payment,36,6350,
,Cash,,,,6350.00 Cr
10-04-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Receipt,23,,44900
,Punjab National Bank - New,,,44900.00 Dr,
10-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2415/25-26,18393,
,Sales Account,,,,18393.00 Cr
10-04-2025,Ankit Trading Company Fulera,Sales,2416/25-26,60787,
,Sales Account,,,,60787.00 Cr
10-04-2025,Shri Chand Pasu Aahar Malpura,Sales,2417/25-26,86400,
,Sales Account,,,,86400.00 Cr
10-04-2025,Rajendra Kumar Pawan Kumar Fhagi,Sales,2418/25-26,22790,
,Sales Account,,,,22790.00 Cr
10-04-2025,Vetkind Animal Health India,Purchase,9,,155000
,Purchase Account,,,155000.00 Dr,
11-04-2025,Electricity and Water Expenses,Payment,37,89165,
,HDFC Bank,,,,89165.00 Cr
11-04-2025,Shri Laxmi Trading Company - Betul,Payment,38,575716,
,HDFC Bank,,,,575716.00 Cr
11-04-2025,Madhu Enterpreses  Teravli,Payment,39,2820,
,HDFC Bank,,,,2820.00 Cr
11-04-2025,Wages Expenses A/C,Payment,40,6300,
,Cash,,,,6300.00 Cr
11-04-2025,Convence Expensece,Payment,41,2800,
,Cash,,,,2800.00 Cr
11-04-2025,G.K.N - Industries,Receipt,24,,42900
,HDFC Bank,,,42900.00 Dr,
11-04-2025,Haritwal Pashu Ahar Vatika,Receipt,25,,50000
,HDFC Bank,,,50000.00 Dr,
11-04-2025,SAMRIDI TRADERS,Sales,2420/25-26,59910,
,Sales Account,,,,59910.00 Cr
11-04-2025,Rakesh Kirana Store - Khejroli,Sales,2421/25-26,70802,
,Sales Account,,,,70802.00 Cr
11-04-2025,Kharwash Trading Company (Muhana ),Sales,2422/25-26,56075,
,Sales Account,,,,56075.00 Cr
11-04-2025,Mehta Baat Bhandhar - GovindPura,Sales,2419,56160,
,Sales Account,,,,56160.00 Cr
12-04-2025,Machinery Reparing,Payment,42,3430,
,Cash,,,,3430.00 Cr
12-04-2025,Wages Expenses A/C,Payment,43,6250,
,Cash,,,,6250.00 Cr
12-04-2025,BANK  EXPENSES- PNB BANK,Payment,44,18.58,
,Punjab National Bank - New,,,,18.58 Cr
12-04-2025,Ankit Trading Company Fulera,Receipt,26,,49977
,HDFC Bank,,,49977.00 Dr,
12-04-2025,Godha Enterprises (Hingoniya),Receipt,27,,20000
,HDFC Bank,,,20000.00 Dr,
12-04-2025,Godha Enterprises (Hingoniya),Sales,2426-25-26,87635,
,Sales Account,,,,87635.00 Cr
12-04-2025,Ishwar and Company Surajpool,Sales,2423/2025-2026,7840,
,Sales Account,,,,7840.00 Cr
12-04-2025,Shiv Trading Comnay Vatika,Sales,2424/2025-2026,73170,
,Sales Account,,,,73170.00 Cr
12-04-2025,Shri Shyam Treding Company Khejroli,Sales,2425/2025-2026,96250,
,Sales Account,,,,96250.00 Cr
12-04-2025,G.K.N - Industries,Sales,2427/25-26,44330,
,Sales Account,,,,44330.00 Cr
12-04-2025,Anukumar Mukesh Kumar Malpura,Sales,2428/25-26,39960,
,Sales Account,,,,39960.00 Cr
12-04-2025,GRIPWEL ENTERPRISES PVT LTD,Purchase,10,,52849
,Purchase Account,,,50332.00 Dr,
,SGST-Tax,,,1258.50 Dr,
,CGST-Tax,,,1258.50 Dr,
12-04-2025,Vetkind Animal Health India,Purchase,11,,15000
,Purchase Account,,,15000.00 Dr,
13-04-2025,Kedar Kirana Stor Benadamod,Receipt,28,,41500
,HDFC Bank,,,41500.00 Dr,
13-04-2025,Pashupati Trading Company,Receipt,29,,33380
,Punjab National Bank - New,,,33380.00 Dr,
13-04-2025,Ishwar and Company Surajpool,Sales,2429/25-26,78400,
,Sales Account,,,,78400.00 Cr
14-04-2025,BUSINESS PROMOTION EXPENSES,Payment,45,23849,
,HDFC Bank,,,,23849.00 Cr
14-04-2025,Wages Expenses A/C,Payment,46,7500,
,Cash,,,,7500.00 Cr
14-04-2025,Tour & Travel,Payment,47,2400,
,Cash,,,,2400.00 Cr
14-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,30,,18393
,HDFC Bank,,,18393.00 Dr,
14-04-2025,Rajendra Kumar Pawan Kumar Fhagi,Receipt,31,,22790
,HDFC Bank,,,22790.00 Dr,
14-04-2025,JAGMOHAN  SATISH KUMAR  MAHUWA,Receipt,32,,50000
,HDFC Bank,,,50000.00 Dr,
14-04-2025,Shri Siddhi Vinayak Industry - Palsana,Receipt,33,,148980
,HDFC Bank,,,148980.00 Dr,
14-04-2025,Choudhry Kirana Store -  Bages,Sales,2430/2025-2026,21026,
,Sales Account,,,,21026.00 Cr
14-04-2025,Shah Shanker Lal Fathe Lal Jain,Sales,2431/25-26,156389,
,Sales Account,,,,156389.00 Cr
14-04-2025,Shri Balaji Agro Industries - Muhana,Sales,2432/25-26,30170,
,Sales Account,,,,30170.00 Cr
14-04-2025,Mangal Treding Company Kukerkheda Mhandi,Purchase,12,,41715
,Purchase Account,,,41715.00 Dr,
14-04-2025,Jaipur Packers - Rajasthan,Purchase,13,,150508
,Purchase Account,,,127549.00 Dr,
,SGST-Tax,,,11479.50 Dr,
,CGST-Tax,,,11479.50 Dr,
15-04-2025,Astha Indusrries Raebareli Up,Payment,48,331419,
,HDFC Bank,,,,331419.00 Cr
15-04-2025,Bayo Foods and Fids Shiv Puri,Payment,49,836956,
,HDFC Bank,,,,836956.00 Cr
15-04-2025,Goyal Palsez Malpura,Payment,50,120225,
,HDFC Bank,,,,120225.00 Cr
15-04-2025,Ajay Kumar,Payment,51,15000,
,HDFC Bank,,,,15000.00 Cr
15-04-2025,GRIPWEL ENTERPRISES PVT LTD,Payment,52,52849,
,HDFC Bank,,,,52849.00 Cr
15-04-2025,Bayo Foods and Fids Shiv Puri,Payment,53,3550,
,HDFC Bank,,,,3550.00 Cr
15-04-2025,Wages Expenses A/C,Payment,54,7600,
,Cash,,,,7600.00 Cr
15-04-2025,Office Expenses,Payment,55,2180,
,Cash,,,,2180.00 Cr
15-04-2025,Blue Diamond Food Production,Receipt,34,,7000
,Cash,,,7000.00 Dr,
15-04-2025,Narendar Kumar Khejroli,Receipt,35,,9500
,Cash,,,9500.00 Dr,
15-04-2025,JAGMOHAN  SATISH KUMAR  MAHUWA,Receipt,36,,50000
,HDFC Bank,,,50000.00 Dr,
15-04-2025,JAGMOHAN  SATISH KUMAR  MAHUWA,Receipt,37,,1063
,HDFC Bank,,,1063.00 Dr,
15-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2433/25-26,27400,
,Sales Account,,,,27400.00 Cr
15-04-2025,Badri Lal Dwaraka Parsad Nasirabad,Sales,2434/25-26,110725,
,Sales Account,,,,110725.00 Cr
15-04-2025,G.K.N - Industries,Sales,2435/25-26,47992,
,Sales Account,,,,47992.00 Cr
15-04-2025,Shri Balaji Enterprises - Uttar Pradesh,Purchase,14,,109897
,Purchase Account,,,109897.00 Dr,
16-04-2025,Wages Expenses A/C,Payment,56,7650,
,Cash,,,,7650.00 Cr
16-04-2025,Convence Expensece,Payment,57,2200,
,Cash,,,,2200.00 Cr
16-04-2025,Arihant  Kumar Rahul Kumar  Medta Seety - S,Receipt,38,,240807
,HDFC Bank,,,240807.00 Dr,
16-04-2025,Shah Shanker Lal Fathe Lal Jain,Receipt,39,,156000
,HDFC Bank,,,156000.00 Dr,
16-04-2025,Shah Shanker Lal Fathe Lal Jain,Receipt,40,,389
,HDFC Bank,,,389.00 Dr,
16-04-2025,Narendar Kumar Khejroli,Receipt,41,,9500
,Cash,,,9500.00 Dr,
16-04-2025,Ankit Trading Company Fulera,Receipt,42,,12694
,HDFC Bank,,,12694.00 Dr,
16-04-2025,Damodher Ji Sharma Choop,Sales,2436/25-26,81845,
,Sales Account,,,,81845.00 Cr
16-04-2025,Pashupati Trading Company,Sales,2437/25-26,42739,
,Sales Account,,,,42739.00 Cr
16-04-2025,Pashupati Trading Company,Sales,2438/25-26,32855,
,Sales Account,,,,32855.00 Cr
16-04-2025,M Choudhry Trading Company - Jalpali,Sales,2439/25-26,60625,
,Sales Account,,,,60625.00 Cr
17-04-2025,Shri Balaji Enterprises - Uttar Pradesh,Payment,58,109897,
,HDFC Bank,,,,109897.00 Cr
17-04-2025,Mangal Treding Company Kukerkheda Mhandi,Payment,59,41580,
,HDFC Bank,,,,41580.00 Cr
17-04-2025,Wages Expenses A/C,Payment,60,7600,
,Cash,,,,7600.00 Cr
17-04-2025,Machinery Reparing,Payment,61,1860,
,Cash,,,,1860.00 Cr
17-04-2025,Advertisment Expenditure,Payment,62,6844,
,HDFC Bank,,,,6844.00 Cr
17-04-2025,KAMAL TRADING CO Dudu,Receipt,43,,59640
,HDFC Bank,,,59640.00 Dr,
17-04-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Receipt,44,,70000
,HDFC Bank,,,70000.00 Dr,
17-04-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,45,,30000
,HDFC Bank,,,30000.00 Dr,
17-04-2025,M Choudhry Trading Company - Jalpali,Receipt,46,,59600
,HDFC Bank,,,59600.00 Dr,
17-04-2025,Narendar Kumar Khejroli,Receipt,47,,9500
,Cash,,,9500.00 Dr,
17-04-2025,Kharwash Trading Company (Muhana ),Sales,2440/25-26,62020,
,Sales Account,,,,62020.00 Cr
17-04-2025,Satyenarayan Kunj Bihari  Ude,Sales,2441/25-26,37125,
,Sales Account,,,,37125.00 Cr
17-04-2025,Jain & Brothers - Muhana Mandi,Sales,2442/25-26,62715,
,Sales Account,,,,62715.00 Cr
18-04-2025,Machinery Reparing,Payment,63,7280,
,HDFC Bank,,,,7280.00 Cr
18-04-2025,Tour & Travel,Payment,64,3000,
,Cash,,,,3000.00 Cr
18-04-2025,Wages Expenses A/C,Payment,65,6350,
,Cash,,,,6350.00 Cr
18-04-2025,J P Fresh Mills - Jairampura,Receipt,48,,10000
,HDFC Bank,,,10000.00 Dr,
18-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,49,,27400
,HDFC Bank,,,27400.00 Dr,
18-04-2025,Balaji Trading  Company  - Lalshot,Receipt,50,,37264
,HDFC Bank,,,37264.00 Dr,
18-04-2025,Vinayak Brothers - Renwal,Receipt,51,,94300
,HDFC Bank,,,94300.00 Dr,
18-04-2025,Narendar Kumar Khejroli,Receipt,52,,9500
,Cash,,,9500.00 Dr,
18-04-2025,Balaji Trading  Company  - Lalshot,Sales,2443/25-26,37264,
,Sales Account,,,,37264.00 Cr
18-04-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Sales,2444/25-26,53910,
,Sales Account,,,,53910.00 Cr
18-04-2025,Anukumar Mukesh Kumar Malpura,Sales,2445/25-26,75810,
,Sales Account,,,,75810.00 Cr
18-04-2025,Prem Industries (Hingoniya),Purchase,15,,120568
,Purchase Account,,,120568.00 Dr,
19-04-2025,Wages Expenses A/C,Payment,66,7550,
,Cash,,,,7550.00 Cr
19-04-2025,Printing & Stationary,Payment,67,1160,
,Cash,,,,1160.00 Cr
19-04-2025,Narendar Kumar Khejroli,Receipt,53,,9500
,Cash,,,9500.00 Dr,
19-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2446/25-26,24812,
,Sales Account,,,,24812.00 Cr
19-04-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Sales,2447/25-26,64510,
,Sales Account,,,,64510.00 Cr
19-04-2025,J.S. Packers - Jaipur,Purchase,16,,102312
,Purchase Account,,,86705.00 Dr,
,SGST-Tax,,,7803.50 Dr,
,CGST-Tax,,,7803.50 Dr,
19-04-2025,Aadishakti Rice Mill Mirzapur Up,Purchase,17,,168011
,Purchase Account,,,168011.00 Dr,
20-04-2025,Ganesh Pashuahar Chaksu,Receipt,54,,219390
,HDFC Bank,,,219390.00 Dr,
20-04-2025,G.K.N - Industries,Receipt,55,,77644
,HDFC Bank,,,77644.00 Dr,
20-04-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Receipt,56,,53860
,Punjab National Bank - New,,,53860.00 Dr,
21-04-2025,Shri Laxmi Trading Company - Betul,Payment,68,1920,
,HDFC Bank,,,,1920.00 Cr
21-04-2025,Tour & Travel,Payment,69,1500,
,Cash,,,,1500.00 Cr
21-04-2025,Wages Expenses A/C,Payment,70,7500,
,Cash,,,,7500.00 Cr
21-04-2025,Vimal JiSharma Dairy - DaulatPura,Receipt,57,,67700
,HDFC Bank,,,67700.00 Dr,
21-04-2025,Ishwar and Company Surajpool,Receipt,58,,94080
,HDFC Bank,,,94080.00 Dr,
21-04-2025,Jain & Brothers - Muhana Mandi,Receipt,59,,59560
,HDFC Bank,,,59560.00 Dr,
21-04-2025,Dishu Pashu Aahar,Receipt,60,,9000
,Cash,,,9000.00 Dr,
21-04-2025,Narendar Kumar Khejroli,Receipt,61,,9500
,Cash,,,9500.00 Dr,
21-04-2025,Maa Karni Baat Bhander Sodala,Sales,2448/25-26,8330,
,Sales Account,,,,8330.00 Cr
21-04-2025,Ishwar and Company Surajpool,Sales,2449/25-26,43904,
,Sales Account,,,,43904.00 Cr
21-04-2025,Tarachand Ji -Yadav Khejroli,Sales,2450/25-26,65320,
,Sales Account,,,,65320.00 Cr
,Loading Exp,,,,
21-04-2025,J.S. Packers - Jaipur,Purchase,18,,17587
